,Station Names,Latitude,Longitude
176,Sector 42-43,28.4936,77.0935
177,DLF Phase 1 ,28.4936,77.0935
178,Sikandarpur ,28.4936,77.0935
180,DLF Phase 2 ,28.4936,77.0935
181,Belvedere Towers ,28.4936,77.0935
182,Cyber City ,28.4936,77.0935
183,Moulsari Avenue,28.4936,77.0935
184,DLF Phase 3 ,28.4936,77.0935
185,Kashmere Gate,28.6675,77.22817
187,Lal Quila,27.92086195,77.52850191
188,Jama Masjid,28.65001015,77.23767617
189,Delhi Gate,28.6392036,77.2407823
190,ITO,28.6305091,77.2414363
191,Mandi House,28.6255556,77.234195
193,Janpath,28.6088598,77.2181649
194,Central Secretariat,28.61474,77.21191
196,Khan Market,28.60276,77.22829
197,Jawaharlal Nehru Stadium,28.5904,77.23326
199,Jangpura,28.5843,77.23766
200,Lajpat Nagar,28.57079,77.23653
202,Moolchand,28.56417,77.23423
203,Kailash Colony,28.55527,77.24205
204,Nehru Place,28.55148,77.25154
206,Kalkaji Mandir,28.55007,77.25835
208,Govind Puri,28.54451,77.26401
209,Okhla,28.54292,77.27504
210,Jasola,28.53824,77.28319
211,Sarita Vihar,28.52878,77.28826
212,Mohan Estate,28.51938,77.29388
213,Tughlakabad,28.50254,77.2993
214,Badarpur Border,28.49334,77.30307
215,Sarai,28.6517178,77.2219388
216,N.H.P.C. Chowk,28.45769,77.2219388
217,Mewala Maharajpur,28.4418747,77.3023001
218,Sector 28 Faridabad,28.54525655,77.03257609
219,Badkal Mor,28.422814,77.310278
220,Old Faridabad,28.4808629,77.0848883
221,Neelam Chowk Ajronda,28.3974824,77.3123599
222,Bata Chowk,28.3858361,77.313462
223,Escorts Mujesar,28.3702344,77.3149203
224,Sant Surdas - Sihi,28.3546513,77.3162264
225,Raja Nahar Singh,28.3400192,77.3164281
226,Janak Puri West,28.6289502,77.0779235
228,Dabri Mor - Janakpuri South,28.6157555,77.085178
229,Dashrath Puri,28.6018751,77.0823561
230,Palam,28.5918933,77.0828242
231,Sadar Bazaar Cantonment,28.5771509,77.1111533
232,Terminal 1 IGI Airport,28.5771509,77.1111533
233,Shankar Vihar,28.55743865,77.13966549
234,Vasant Vihar,28.56069055,77.16079073
